ARPERO,[15]
ARPILLADOR,[22]
ARPISTA,"[23, 22, 15]"
ARPONERO,"[22, 15]"
ARQUEADOR,[22]
ARQUEOLEG,[17]
ARQUEOLOGO,"[12, 13, 14, 15, 16, 18, 20, 22]"
ARQUERO,"[24, 10, 22, 15]"
ARQUILLERO,[15]
ARQUIMANDRITA,[5]
ARQUITECTE,[17]
ARQUITECTO,"[10, 12, 13, 14, 15, 16, 18, 20, 22, 24]"
ARRAEZ,"[21, 22]"
ARRANCADOR,[23]
ARREGLISTA,[15]
ARRENDADOR,"[21, 15]"
ARRENDATARIO,[15]
ARRIERO,"[10, 15, 19, 21, 22, 24]"
ARRISCADOR,"[22, 15]"
ARROBERO,[22]
ARROCERO,[15]
ARROPIERO,"[22, 15]"
ARRUMBADOR,"[1, 15, 22, 23, 24]"
ARTEFINALISTA,[14]
ARTESAN,[17]
ARTESANO,"[10, 11, 14, 15, 16, 22, 24]"
ARTICULISTA,"[24, 22, 15]"
ARTIFERO,[22]
ARTIFICE,"[11, 22, 15]"
ARTIFICIERO,"[24, 22, 15]"
ARTIGADOR,[15]
ARTILLER,[17]
ARTILLERO,"[24, 22, 15]"
ARTISTA,"[14, 15, 16, 17, 22, 23, 24]"
ARTROLOGO,[15]
ARUSPICE,[22]
ARVICULTOR,[22]
ARXIVER,[17]
ARXIVISTA,[17]
ARZOBISPO,"[3, 4, 5, 15, 21]"
ASADOR,[24]
ASALARIADO,"[24, 22, 15]"
ASALTANTE,[24]
ASAMBLEISTA,[24]
ASCENSORISTA,"[24, 22, 15]"
ASCETA,[24]
ASEADOR,"[14, 15]"
ASEGURADOR,"[24, 23, 22, 15]"
ASENTADOR,"[22, 15]"
ASENTERO,[22]
ASENTISTA,[22]
ASERRADOR,"[19, 22, 14, 15]"
ASESINO,[24]
ASESOR,"[13, 14, 15, 16, 18, 20, 21, 22, 23, 24]"
ASIRIOLOGO,[22]
ASISTENTE,"[10, 13, 14, 15, 16, 18, 24]"
ASPADOR,"[22, 15]"
ASPIRANTE A OFICIAL,[2]
ASSISTENT,[17]
ASTACICULTOR,[15]
ASTERO,[22]
ASTILLADOR,[15]
ASTROFISICO,"[18, 13, 14, 15]"
ASTROLEG,[17]
ASTROLOGO,"[12, 13, 15, 16, 18, 21, 22, 24]"
ASTRONAUTA,[15]
ASTRONOM,[17]
ASTRONOMIANO,[24]
ASTRONOMIATICO,[24]
ASTRONOMO,"[12, 13, 14, 15, 16, 18, 22, 24]"
ASUNCIONISTA,[22]
ATABAL,[22]
ATABALERO,"[22, 15]"
ATACANTE,[24]
ATADOR,"[22, 15]"
ATAJADOR,[22]
ATALAYADOR,[22]
ATALAYERO,[22]
ATAUDERO,[15]
ATENDEDOR,[22]
ATENEISTA,[22]
ATIJARERO,[22]
ATIZADOR,[22]
ATLETA,"[12, 13, 15, 16, 17, 18, 22, 24]"
ATOCHERO,[22]
ATOLERO,[22]
ATOPILE,[22]
ATORMENTADOR,[22]
ATRACADOR,[22]
ATRECISTA,[15]
ATS,"[18, 12, 13]"
ATUNERO,"[22, 15]"
AUDIOLOGO,[14]
AUDIOPROTESISTA,[15]
AUDITOR,"[10, 14, 15, 22, 23, 24]"
AUGUR,[22]
AUGUSTO,[24]
AURIGA,"[24, 22]"
AUTOBUSERO,"[16, 15]"
AUTOMEDONTE,[22]
AUTOMOVILISTA,[24]
AUTOR,"[12, 13, 15, 18, 21, 22, 23, 24]"
AUXILIAR,"[12, 13, 14, 15, 16, 17, 18, 20, 22, 24]"
AVALISTA,[22]
